EbN0_dB,BER_amp_1,BER_ldpc,BER_amp_2,BER_ldpc_2,BER_plain,BER_bpsk
3.0,0.2981184895833333,0.29085069444444445,0.2981184895833333,0.29085069444444445,0.1349761284722223,0.037439236111111114
3.7777777777777777,0.2854123263888888,0.27777994791666666,0.2854123263888888,0.27777994791666666,0.02842447916666667,0.02155732084500467
4.555555555555555,0.26556021973466,0.25782329671088994,0.265561299405749,0.25784920881702594,0.009204196033720297,0.0020946180555555557
5.333333333333334,0.2387907159391536,0.2332196593915345,0.23884135251322766,0.2331628224206349,0.003472222222222222,0.0
6.111111111111111,0.17869270833333326,0.17227256944444447,0.17765625000000002,0.17100260416666666,0.0016397569444444446,0.0
6.888888888888889,0.055055555555555566,0.050434895833333326,0.054179687500000004,0.04964322916666667,0.0006458333333333332,0.0
7.666666666666667,0.0025642361111111126,0.0009835069444444444,0.0025651041666666682,0.0009835069444444444,0.000236111111111111,0.0
8.444444444444445,0.0006979166666666667,0.0,0.0006979166666666667,0.0,0.0001189236111111111,0.0
9.222222222222221,0.00024131944444444448,8.680555555555555e-07,0.00024131944444444448,8.680555555555555e-07,4.427083333333333e-05,0.0
10.0,9.635416666666667e-05,0.0,9.635416666666667e-05,0.0,1.4756944444444443e-05,0.0
