EbN0_dB,BER_ldpc,BER_amp_2,BER_bpsk
4.54487563006125,0.258515625,0.26601562500000003,0.10600549768518519
5.176646317390528,0.24343749999999997,0.25043981481481487,0.09668547453703703
5.8322629649173,0.21910590277777775,0.22268084490740747,0.08877025462962963
6.513596536868516,0.18749421296296287,0.17704716435185183,0.08013310185185185
7.222747215285779,0.13955873842592592,0.08087094907407406,0.07026765046296296
7.962083443046305,0.060787037037037035,0.009945987654320981,0.06085503472222222
8.73428965086177,0.010244020061728394,0.0005150462962962961,0.05121383101851852
9.542425094393248,0.0,0.00016975308641975308,0.040199652777777775
10.389997057190772,0.0,4.4367283950617275e-05,0.023955702861952862
11.281052845636859,0.0,1.253858024691358e-05,0.000546875
12.220296679617777,0.0,0.0,0.0
13.213240028619062,0.0,3.858024691358025e-06,0.0
14.266397577513025,0.0,0.0,0.0
15.387546521522768,0.0,0.0,0.0
16.5860754566205,0.0,0.0,9.645061728395062e-07
