EbN0_dB,BER_amp,BER_ldpc,BER_plain
9.434524456659126,[2.66203704e-04 1.01273148e-05],[0. 0.],4.484953703703704e-05
8.393987162062405,[0.00072917 0.0003125 ],[0. 0.],0.0001417824074074074
7.412269518961372,[0.01296875 0.01392072],[0.01045718 0.01346354],0.0003833912037037038
6.483075890222379,[0.1165842  0.14854311],[0.11109375 0.14855179],0.0009968171296296294
5.601070260499412,[0.22793825 0.27581271],[0.22128647 0.27581271],0.002886882008154944
4.761690601214305,[0.26478488 0.2924144 ],[0.25655124 0.2924144 ],0.006424470572057206
3.961006060338817,[0.28095269 0.29804253],[0.27264974 0.29804253],0.01930989583333333
3.1956056427283785,[0.29536892 0.30431424],[0.28741753 0.30431424],0.10985460069444443
2.4625103991471136,[0.31156033 0.31320747],[0.30278429 0.31320747],0.18792534722222234
1.7591034071026013,[0.32253255 0.32106771],[0.31356554 0.32106771],0.2267426215277777
