EbN0_dB,BER_amp,BER_ldpc,BER_plain
11.933299188825124,[0.00408259 0.04090848 0.04029464 0.04029464],[0.00098214 0.04032812 0.04029464 0.04029464],7.142857142857143e-05
10.892761894228407,[0.01432143 0.04476563 0.0440067  0.04400223],[0.00443973 0.04398214 0.04399777 0.04401563],0.00020758928571428572
9.911044251127372,[0.06225893 0.05726563 0.05628125 0.05598438],[0.02492634 0.05544866 0.05558929 0.05596652],0.0004575892857142856
8.981850622388377,[0.12185045 0.09427679 0.09101562 0.09014955],[0.06215625 0.08783929 0.08909375 0.0893058 ],0.0013459821428571427
8.099844992665412,[0.16164509 0.15541741 0.15195312 0.15056473],[0.11630134 0.1451317  0.14682366 0.14784375],0.0028928571428571454
7.260465333380305,[0.18268151 0.19704341 0.19529847 0.19432073],[0.15476469 0.18852451 0.18955371 0.19001216],0.004940119760479044
6.459780792504817,[0.20100374 0.22059567 0.21955148 0.21914947],[0.18354824 0.21529379 0.21566545 0.21581715],0.009562095469255658
5.6943803748943775,[0.21835029 0.23424003 0.23424263 0.2342011 ],[0.20907132 0.23174315 0.23192483 0.23195338],0.01575737126245847
4.961285131313113,[0.2327554  0.24271699 0.24274554 0.24248858],[0.22440563 0.24109998 0.24125052 0.24116487],0.02743718853820601
4.257878139268601,[0.24501823 0.24973437 0.24933073 0.24922917],[0.23626042 0.24872135 0.24842708 0.24846615],0.04228385416666669
