EbN0_dB,BER_amp_1,BER_ldpc,BER_amp_2,BER_ldpc_2,BER_plain,BER_bpsk
3.0,0.30066297743055537,0.2918565538194444,0.30066297743055537,0.0,0.13703884548611112,0.037555338541666664
3.7777777777777777,0.2831054687500001,0.27491970486111117,0.2831054687500001,0.0,0.027272135416666673,0.023239059371871873
4.555555555555555,0.26404652086788266,0.2564704688363738,0.2640432818546156,0.0,0.008538038971807627,0.0009704861111111111
5.333333333333334,0.24003421655879195,0.23387671082793957,0.2396012422464942,0.0,0.0038651648462783173,0.0
6.111111111111111,0.18124479166666665,0.17515364583333326,0.17963628472222223,0.0,0.0016171875,0.0
6.888888888888889,0.049921875000000004,0.04557118055555556,0.04883159722222226,0.0,0.0007248263888888888,0.0
7.666666666666667,0.003684895833333333,0.0016354166666666667,0.003620659722222221,0.0,0.0002786458333333333,0.0
8.444444444444445,0.0007847222222222222,0.0,0.0007847222222222222,0.0,0.00011024305555555555,0.0
9.222222222222221,0.00033420138888888876,0.0,0.00033420138888888876,0.0,2.7777777777777776e-05,0.0
10.0,0.0001111111111111111,0.0,0.0001111111111111111,0.0,5.208333333333333e-06,0.0
