EbN0_dB,BER_amp,BER_ldpc,BER_plain
13.871499448986253,[0.003725   0.00085625 0.         0.        ],[0. 0. 0. 0.],9.375e-06
12.830962154389534,[0.0137875  0.00047812 0.00015    0.00014375],[0.00014375 0.00014375 0.00014375 0.00014375],2.5e-05
11.8492445112885,[0.0556625  0.01284063 0.0119875  0.01180938],[0.00946563 0.01095625 0.01121563 0.01135625],7.8125e-05
10.920050882549507,[0.1182125  0.06009688 0.05478125 0.054375  ],[0.04166875 0.0501125  0.05147188 0.05264688],0.00017812499999999998
10.038045252826539,[0.15765    0.13164062 0.126025   0.12415938],[0.09221875 0.11569375 0.11836875 0.11924688],0.00046875
9.198665593541433,[0.18269375 0.19756875 0.19521875 0.19405313],[0.14927812 0.18771875 0.18912188 0.19015625],0.0010750000000000002
8.397981052665944,[0.20408125 0.22629375 0.22518438 0.22487187],[0.1857125  0.21935625 0.21962188 0.22032188],0.002121874999999999
7.632580635055506,[0.2214507  0.24181034 0.24167228 0.24116043],[0.20897427 0.23896148 0.23895474 0.23894801],0.003896147629310345
6.899485391474242,[0.22991071 0.2439881  0.24425595 0.24426711],[0.21998512 0.24206473 0.24203869 0.24221354],0.006729910714285715
6.196078399429728,[0.24438355 0.25218439 0.25248368 0.25226601],[0.23627177 0.25158193 0.25181903 0.25170243],0.011602145522388066
