EbN0_dB,BER_ldpc,BER_amp_2,BER_ldpc_2,BER_plain,BER_bpsk
4.54487563006125,0.26040509259259254,0.26794849537037035,0.26050202546296286,0.008657407407407407,0.10513310185185185
5.176646317390528,0.2415162037037038,0.24897714120370368,0.2418518518518518,0.004395254629629629,0.0975462962962963
5.8322629649173,0.2160460069444443,0.22062065972222222,0.21428819444444444,0.002180266203703703,0.08863859953703704
6.513596536868516,0.09570746527777775,0.10194010416666664,0.09580439814814817,0.0010214120370370373,0.07959924768518518
7.222747215285779,0.007847222222222222,0.008990162037037038,0.006124131944444444,0.0005034722222222223,0.0701779513888889
7.962083443046305,1.4467592592592592e-06,0.0013845486111111124,1.4467592592592592e-06,0.00020254629629629626,0.060529513888888886
8.73428965086177,0.0,0.0005237268518518519,0.0,6.076388888888889e-05,0.0510228587962963
9.542425094393248,0.0,0.00021701388888888888,0.0,2.6041666666666665e-05,0.03953269675925926
10.389997057190772,0.0,7.089120370370371e-05,0.0,1.0127314814814815e-05,0.023793402777777778
11.281052845636859,0.0,1.4467592592592591e-05,0.0,0.0,0.00024305555555555555
12.220296679617777,0.0,7.233796296296296e-06,0.0,0.0,0.0
13.213240028619062,0.0,0.0,0.0,0.0,0.0
14.266397577513025,0.0,0.0,0.0,0.0,0.0
15.387546521522768,0.0,0.0,0.0,0.0,1.4467592592592592e-06
16.5860754566205,0.0,0.0,0.0,0.0,0.0
