EbN0_dB,BER_amp_1,BER_ldpc,BER_amp_2,BER_ldpc_2,BER_plain,BER_bpsk
3.0,0.2918511284722223,0.2863519965277779,0.3065603298611112,0.0,0.1855219184027777,0.03739293981481481
3.7777777777777777,0.27615776909722234,0.2699414062500001,0.2906087239583332,0.0,0.07077148437500001,0.02146584213345577
4.555555555555555,0.2521278211805557,0.24709743923611113,0.2674023437499999,0.0,0.01122721354166667,0.0018796296296296295
5.333333333333334,0.21701284051261416,0.21238321088298442,0.229933029723564,0.0,0.003744800053676867,0.0
6.111111111111111,0.09668229166666664,0.09226909722222218,0.10015017361111114,0.0,0.0015503472222222227,0.0
6.888888888888889,0.01356770833333333,0.011574652777777776,0.012229166666666668,0.0,0.0006241319444444445,0.0
7.666666666666667,0.0011848958333333338,0.00028559027777777773,0.0002552083333333333,0.0,0.00033072916666666656,0.0
8.444444444444445,0.0004644097222222221,9.635416666666668e-05,0.00010156250000000002,0.0,9.20138888888889e-05,0.0
9.222222222222221,0.00016319444444444446,5.1215277777777786e-05,5.1215277777777786e-05,0.0,1.388888888888889e-05,0.0
10.0,5.64236111111111e-05,3.472222222222222e-06,7.8125e-06,0.0,9.548611111111111e-06,0.0
