EbN0_dB,BER_amp,BER_ldpc,BER_plain
12.848449000038627,[0.00391295 0.02203125 0.02116518 0.02116518],[0.00045536 0.02117187 0.02116518 0.02116518],3.125e-05
11.80791170544191,[0.01469196 0.02372768 0.02347991 0.02347768],[0.00296652 0.02338839 0.02345536 0.02348661],3.5714285714285724e-05
10.826194062340875,[0.05154911 0.02932143 0.02824107 0.02821652],[0.01110045 0.02772768 0.02795089 0.02807589],0.00012276785714285715
9.897000433601882,[0.12428571 0.08417411 0.08066071 0.0802567 ],[0.05703795 0.07633259 0.07729241 0.07865625],0.0005178571428571427
9.014994803878915,[0.16097768 0.15081696 0.14685714 0.14585938],[0.10966741 0.13904911 0.14112946 0.14209152],0.0013950892857142866
8.175615144593806,[0.18795312 0.2070625  0.2055692  0.2051317 ],[0.16113393 0.19881473 0.20023884 0.20059375],0.002363839285714285
7.374930603718319,[0.20216295 0.228125   0.2275067  0.22695089],[0.18682589 0.22261607 0.22309821 0.22299554],0.004223214285714283
6.609530186107879,[0.22063199 0.23750998 0.23774461 0.23704073],[0.20856879 0.23499151 0.23489667 0.23485923],0.008117012779552719
5.876434942526615,[0.23096803 0.24323262 0.24338524 0.24321709],[0.22179481 0.24164683 0.24184603 0.24164166],0.014235823675496697
5.173027950482103,[0.24520573 0.25138542 0.25121615 0.25097917],[0.23629427 0.25030469 0.25017708 0.24995052],0.022283854166666672
