EbN0_dB,BER_ldpc,BER_amp_2,BER_bpsk
4.54487563006125,0.2561328125,0.2636921296296298,0.10530671296296296
5.176646317390528,0.24431423611111122,0.25125,0.09671875
5.8322629649173,0.22030237268518518,0.22380787037037034,0.0885720486111111
6.513596536868516,0.18889612268518513,0.18062499999999992,0.07950086805555556
7.222747215285779,0.14002314814814823,0.08061053240740743,0.07004050925925925
7.962083443046305,0.06379484953703703,0.0073003472222222246,0.061011284722222225
8.73428965086177,0.0037442129629629635,0.00043113425925925925,0.05101707175925926
9.542425094393248,0.0,0.00022714120370370363,0.03943142361111111
10.389997057190772,0.0,5.063657407407407e-05,0.023563368055555554
11.281052845636859,0.0,1.591435185185185e-05,0.0003559027777777778
12.220296679617777,0.0,5.787037037037037e-06,0.0
13.213240028619062,0.0,0.0,0.0
14.266397577513025,0.0,0.0,0.0
15.387546521522768,0.0,0.0,0.0
16.5860754566205,0.0,0.0,0.0
