EbN0_dB,BER_ldpc,BER_amp_2,BER_bpsk
0.6684751097389946,0.31351273148148145,0.47294560185185186,7223040.0
1.8670040448367218,0.3159722222222222,0.4642650462962963,6697728.0
3.154391379692773,0.2738715277777778,0.4285300925925926,5992704.0
4.54487563006125,0.25882523148148145,0.4207175925925926,4866048.0
6.056418065637239,0.21339699074074073,0.3637152777777778,4188672.0
7.7121254719662415,0.0,0.49985532407407407,3207168.0
9.542425094393248,0.0,0.2456597222222222,1831680.0
11.5885259922885,0.0,0.0,0.0
13.908203871395969,0.0,0.0,0.0
16.5860754566205,0.0,0.0,0.0
EbN0_dB,BER_ldpc,BER_amp_2,BER_bpsk
0.6684751097389946,0.3130787037037037,0.46903935185185186,7776000.0
1.8670040448367218,0.30179398148148145,0.44907407407407407,6946560.0
3.154391379692773,0.2756076388888889,0.4341724537037037,5723136.0
4.54487563006125,0.24537037037037038,0.39641203703703703,5204736.0
6.056418065637239,0.21875,0.3606770833333333,4098816.0
7.7121254719662415,0.0,0.4955150462962963,3117312.0
9.542425094393248,0.0,0.0,1817856.0
11.5885259922885,0.0,0.25419560185185186,0.0
13.908203871395969,0.0,0.0,0.0
16.5860754566205,0.0,0.0,0.0
EbN0_dB,BER_ldpc,BER_amp_2,BER_bpsk
0.6684751097389946,0.33232060185185186,0.33232060185185186,7727616.0
1.8670040448367218,0.3177083333333333,0.3177083333333333,6690816.0
3.154391379692773,0.29875578703703703,0.29875578703703703,6068736.0
4.54487563006125,0.2544849537037037,0.2544849537037037,4907520.0
6.056418065637239,0.09606481481481481,0.09606481481481481,4333824.0
7.7121254719662415,0.0,0.0,3013632.0
9.542425094393248,0.0,0.0,1935360.0
11.5885259922885,0.0,0.0,0.0
13.908203871395969,0.0,0.0,0.0
16.5860754566205,0.0,0.0,0.0
EbN0_dB,BER_ldpc,BER_amp_2,BER_bpsk
0.6684751097389946,0.3394097222222222,0.3394097222222222,7271424.0
1.8670040448367218,0.3030960648148148,0.3030960648148148,6891264.0
3.154391379692773,0.2951388888888889,0.2951388888888889,6241536.0
4.54487563006125,0.2527488425925926,0.2527488425925926,4948992.0
6.056418065637239,0.2019675925925926,0.2019675925925926,4022784.0
7.7121254719662415,0.0,0.0,3262464.0
9.542425094393248,0.0,0.0,2080512.0
11.5885259922885,0.0,0.0,0.0
13.908203871395969,0.0,0.0,0.0
16.5860754566205,0.0,0.0,0.0
EbN0_dB,BER_ldpc,BER_amp_2,BER_bpsk
0.6684751097389946,0.33579282407407407,0.33579282407407407,7589376.0
1.8670040448367218,0.30931712962962965,0.30931712962962965,6815232.0
3.154391379692773,0.2679398148148148,0.2679398148148148,5764608.0
4.54487563006125,0.23075810185185186,0.23075810185185186,4955904.0
6.056418065637239,0.11877893518518519,0.11877893518518519,4036608.0
7.7121254719662415,0.0,0.0,3414528.0
9.542425094393248,0.0,0.0,1845504.0
11.5885259922885,0.0,0.0,0.0
13.908203871395969,0.0,0.0,0.0
16.5860754566205,0.0,0.0,0.0
EbN0_dB,BER_ldpc,BER_amp_2,BER_bpsk
0.6684751097389946,0.34910300925925924,0.34910300925925924,7845120.0
1.8670040448367218,0.3107638888888889,0.3107638888888889,6870528.0
3.154391379692773,0.2934027777777778,0.2934027777777778,5736960.0
4.54487563006125,0.23365162037037038,0.23365162037037038,5301504.0
6.056418065637239,0.20298032407407407,0.20298032407407407,4250880.0
7.7121254719662415,0.0,0.0,2840832.0
9.542425094393248,0.0,0.0,1762560.0
11.5885259922885,0.0,0.0,0.0
13.908203871395969,0.0,0.0,0.0
16.5860754566205,0.0,0.0,0.0
EbN0_dB,BER_ldpc,BER_amp_2,BER_bpsk
0.6684751097389946,0.3336226851851852,0.3336226851851852,7623936.0
1.8670040448367218,0.32103587962962965,0.32103587962962965,6628608.0
3.154391379692773,0.31235532407407407,0.31235532407407407,5985792.0
4.54487563006125,0.28718171296296297,0.28718171296296297,4997376.0
6.056418065637239,0.26186342592592593,0.26186342592592593,4029696.0
7.7121254719662415,0.2466724537037037,0.2466724537037037,3055104.0
9.542425094393248,0.2523148148148148,0.2523148148148148,1852416.0
11.5885259922885,0.21455439814814814,0.21455439814814814,0.0
13.908203871395969,0.18070023148148148,0.18070023148148148,0.0
16.5860754566205,0.1769386574074074,0.1769386574074074,0.0
EbN0_dB,BER_ldpc,BER_amp_2,BER_bpsk
0.6684751097389946,0.3404224537037037,0.3537326388888889,7464960.0
1.8670040448367218,0.30570023148148145,0.3113425925925926,6801408.0
3.154391379692773,0.29195601851851855,0.30367476851851855,6006528.0
4.54487563006125,0.2416087962962963,0.2482638888888889,4914432.0
6.056418065637239,0.21585648148148148,0.21875,3760128.0
7.7121254719662415,0.10315393518518519,0.0027488425925925927,2979072.0
9.542425094393248,0.0,0.0,1762560.0
11.5885259922885,0.0,0.0,0.0
13.908203871395969,0.0,0.0,0.0
16.5860754566205,0.0,0.0,0.0
EbN0_dB,BER_ldpc,BER_amp_2,BER_bpsk
0.6684751097389946,0.32667824074074076,0.3308738425925926,0.15552662037037038
1.8670040448367218,0.32002314814814814,0.3207465277777778,0.13903356481481483
3.154391379692773,0.28978587962962965,0.2942708333333333,0.12181712962962964
4.54487563006125,0.27025462962962965,0.27763310185185186,0.10648148148148148
6.056418065637239,0.21715856481481483,0.21412037037037038,0.0853587962962963
7.7121254719662415,0.029007523148148147,0.0012297453703703702,0.059751157407407406
9.542425094393248,0.0,0.0,0.030671296296296297
11.5885259922885,0.0,0.0,0.0
13.908203871395969,0.0,0.0,0.0
16.5860754566205,0.0,0.0,0.0
