EbN0_dB,BER_ldpc,BER_amp_2,BER_ldpc_2,BER_plain,BER_bpsk
4.54487563006125,0.2574797453703704,0.26432725694444437,0.25706018518518514,0.03320601851851851,0.10614872685185185
5.176646317390528,0.24484085648148152,0.25151475694444436,0.24472800925925933,0.006924189814814815,0.09721643518518519
5.8322629649173,0.21826678240740732,0.22148726851851844,0.2159172453703704,0.002213541666666667,0.08799768518518518
6.513596536868516,0.19343171296296305,0.18641348379629627,0.1814887152777778,0.0011487268518518517,0.07951388888888888
7.222747215285779,0.13985387731481483,0.07735387731481484,0.07090711805555554,0.0004846643518518519,0.0708275462962963
7.962083443046305,0.0611935763888889,0.006223958333333334,0.004348958333333334,0.00023871527777777772,0.060807291666666666
8.73428965086177,0.006325231481481481,0.00047453703703703693,0.0,9.982638888888887e-05,0.05121672453703704
9.542425094393248,0.0,0.00017939814814814815,0.0,3.327546296296296e-05,0.039253472222222224
10.389997057190772,0.0,7.667824074074074e-05,0.0,8.680555555555556e-06,0.023596643518518517
11.281052845636859,0.0,2.025462962962963e-05,0.0,0.0,0.0012745949074074074
12.220296679617777,0.0,0.0,0.0,0.0,0.0
13.213240028619062,0.0,5.787037037037037e-06,0.0,0.0,0.0
14.266397577513025,0.0,0.0,0.0,0.0,0.0
15.387546521522768,0.0,0.0,0.0,0.0,0.0
16.5860754566205,0.0,0.0,0.0,0.0,0.0
