EbN0_dB,BER_sparc,BER_ldpc_soft,BER_amp_soft
4.106023054012099,0.01916377314814815,[0.25767216 0.25777054],[0.26321181 0.26325955 0.26349682]
5.098966403013384,0.004767071759259259,[0.23030671 0.229239  ],[0.23494213 0.23394242 0.23383391]
6.1521239519073525,0.0015653935185185183,[0.07022135 0.06862124],[0.07404514 0.07265336 0.07115017]
7.273272895917092,0.0004890046296296296,[0.0004456  0.00045284],[0.0016985  0.00170284 0.00169271]
8.471801831014822,7.378472222222222e-05,[8.82523148e-05 8.82523148e-05],[0.00052517 0.00051649 0.00051649]
9.759189165870872,1.591435185185185e-05,[4.4849537e-05 4.4849537e-05],[8.82523148e-05 8.82523148e-05 8.82523148e-05]
11.149673416239347,0.0,[4.34027778e-06 4.34027778e-06],[1.15740741e-05 1.15740741e-05 1.15740741e-05]
12.661215851815342,0.0,[0. 0.],[0. 0. 0.]
14.316923258144342,0.0,[0. 0.],[0. 0. 0.]
16.14722288057135,0.0,[0. 0.],[0. 0. 0.]
EbN0_dB,BER_sparc,BER_ldpc_hard,BER_amp_hard
4.106023054012099,0.01916377314814815,0.2621368634259259,[0.26725694 0.28295573]
5.098966403013384,0.004767071759259259,0.22574942129629633,[0.22983652 0.24563223]
6.1521239519073525,0.0015653935185185183,0.09386863425925926,[0.097989   0.10133247]
7.273272895917092,0.0004890046296296296,0.0004673032407407405,[0.00178385 0.00036314]
8.471801831014822,7.378472222222222e-05,8.246527777777777e-05,[5.41087963e-04 8.96990741e-05]
9.759189165870872,1.591435185185185e-05,3.3275462962962965e-05,[1.35995370e-04 2.74884259e-05]
11.149673416239347,0.0,0.0,[1.88078704e-05 0.00000000e+00]
12.661215851815342,0.0,0.0,[0. 0.]
14.316923258144342,0.0,0.0,[0. 0.]
16.14722288057135,0.0,0.0,[0. 0.]
